timestamp,uptime,gateway_ip
2026-04-22 02:51:18,up 3 hours, 7 minutes,10.42.0.1
2026-04-22 10:32:22,0,0,46m,10.42.0.1
2026-04-22 10:32:29,0,0,46m,10.42.0.1
2026-04-22 10:33:26,0,0,47m,10.42.0.1
2026-04-22 10:33:33,0,0,47m,10.42.0.1
2026-04-22 10:34:30,0,0,48m,10.42.0.1
2026-04-22 10:34:36,0,0,48m,10.42.0.1
2026-04-22 10:35:33,0,0,49m,10.42.0.1
2026-04-22 10:36:36,0,0,50m,10.42.0.1
2026-04-22 10:37:40,0,0,51m,10.42.0.1
2026-04-22 10:38:43,0,0,52m,10.42.0.1
2026-04-22 10:39:46,0,0,53m,10.42.0.1
2026-04-22 10:40:49,0,0,54m,10.42.0.1
2026-04-22 10:41:52,0,0,55m,10.42.0.1
2026-04-22 11:11:36,0,0,4m,10.42.0.1
2026-04-22 11:12:40,0,0,5m,10.42.0.1
2026-04-22 11:13:43,0,0,6m,10.42.0.1
